ID,SKU,Published,Is featured?,Visibility in catalogue,Images
419473,ZO-ALP402,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP402.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP402-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP402-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP402-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP402-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP402-5.jpg
419474,ZO-ALP403,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP403.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP403-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP403-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP403-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP403-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP403-5.jpg
419475,ZO-ALP404,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP404.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP404-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP404-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP404-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP404-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP404-5.jpg
419476,ZO-ALP405,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP405.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP405-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP405-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP405-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP405-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALP405-5.jpg
419477,ZO-HUG202,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG202.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG202-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG202-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG202-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG202-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG202-5.jpg
419478,ZO-HUG203,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG203.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG203-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG203-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG203-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG203-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-HUG203-5.jpg
419479,ZO-KWA801,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA801.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA801-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA801-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA801-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA801-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA801-5.jpg
419486,ZO-PAL1301,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1301.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1301-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1301-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1301-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1301-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1301-5.jpg
419487,ZO-PAL1303,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1303.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1303-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1303-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1303-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1303-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-PAL1303-5.jpg
419488,ZO-ADA601,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA601.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA601-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA601-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA601-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA601-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA601-5.jpg
